term,term_frequency
the,216307
of,100814
and,85346
in,73407
to,55322
a,52857
on,31941
retrieved,30033
is,26929
from,23979
as,22718
for,20175
was,19701
by,19061
with,16984
s,15408
at,14258
that,14241
are,12277
it,11875
were,11025
hurricane,10416
or,9750
an,9692
which,9167
also,7988
storm,7528
september,7502
be,7454
this,7447
tropical,7418
its,7263
^,6779
national,6436
may,6321
new,6124
october,6003
august,5796
has,5777
archived,5665
over,5651
2011,5486
2017,5448
have,5368
pdf,5267
state,5150
center,5100
2013,5080
one,4861
july,4831
into,4830
states,4826
other,4802
during,4667
2015,4621
2010,4599
after,4569
their,4505
november,4463
united,4428
not,4414
more,4387
2008,4385
first,4333
can,4281
june,4236
most,4197
2012,4183
january,4150
2009,4135
april,4091
had,4075
than,4068
winds,4042
1,4003
2007,3853
but,3817
march,3817
2016,3780
damage,3770
two,3765
weather,3716
2014,3690
december,3685
city,3685
about,3628
been,3597
such,3563
all,3548
when,3528
water,3501
between,3484
february,3476
north,3440
there,3391
they,3352
system,3344
cyclone,3343
area,3320
h,3255
while,3176
some,3137
many,3078
used,3028
2006,2994
these,2978
main,2952
see,2936
2,2911
time,2865
world,2836
wind,2808
university,2802
press,2773
10,2766
island,2746
only,2733
3,2725
air,2697
4,2673
south,2670
areas,2573
due,2567
through,2564
people,2526
5,2523
near,2444
report,2444
since,2394
including,2389
6,2387
high,2376
along,2374
12,2363
florida,2342
several,2314
article,2300
where,2296
york,2296
up,2283
original,2279
11,2228
7,2222
8,2210
15,2209
service,2207
2005,2205
his,2203
within,2199
u.s,2191
20,2157
no,2156
years,2154
caused,2141
government,2140
however,2120
30,2118
known,2116
coast,2113
atlantic,2100
made,2099
before,2095
around,2091
three,2072
cyclones,2059
american,2056
power,2056
would,2056
24,2007
research,2005
who,2003
rainfall,1997
25,1991
9,1983
later,1968
p,1967
well,1958
28,1958
population,1953
ocean,1916
both,1911
major,1911
west,1902
early,1902
history,1899
day,1896
27,1883
earth,1870
2003,1865
14,1861
18,1854
large,1850
29,1847
22,1845
year,1842
region,1840
space,1839
13,1834
surface,1820
j,1799
part,1796
pacific,1786
21,1776
19,1775
out,1763
under,1763
23,1760
atmospheric,1755
climate,1743
26,1734
became,1728
season,1718
east,1716
meteorological,1705
will,1702
m,1701
across,1687
17,1686
southern,1685
pressure,1681
data,1677
he,1671
16,1668
hurricanes,1661
energy,1632
being,1631
central,1616
storms,1596
number,1588
low,1581
form,1572
times,1570
use,1563
2004,1553
name,1541
associated,1538
any,1535
because,1526
total,1520
include,1511
landfall,1509
northern,1503
news,1501
then,1500
land,1499
each,1498
reported,1491
strong,1489
flooding,1487
international,1477
largest,1476
began,1476
intensity,1473
country,1472
sea,1469
if,1465
temperature,1451
virginia,1435
although,1424
same,1422
systems,1400
islands,1391
century,1390
called,1382
per,1381
eastern,1372
western,1354
miles,1353
days,1345
located,1342
four,1332
until,1328
us,1323
mexico,1318
2000,1310
second,1304
public,1304
local,1298
million,1289
often,1287
following,1282
administration,1278
river,1275
heavy,1266
station,1265
so,1258
much,1257
county,1255
names,1254
john,1248
small,1244
development,1242
washington,1237
nasa,1220
depression,1214
office,1210
force,1206
change,1205
war,1199
significant,1188
r,1185
l,1182
average,1174
home,1172
heat,1166
president,1157
off,1156
31,1153
rain,1150
above,1138
estimated,1132
2001,1129
based,1127
record,1127
moved,1125
severe,1124
those,1122
damaged,1122
level,1121
destroyed,1118
according,1112
further,1110
precipitation,1096
late,1095
federal,1094
developed,1094
oceanic,1086
texas,1084
result,1083
science,1076
de,1075
very,1072
residents,1069
throughout,1050
them,1049
produced,1047
puerto,1047
period,1043
least,1042
left,1041
department,1041
though,1040
america,1039
d,1039
hours,1036
another,1032
named,1014
formed,997
carolina,996
c,986
beach,976
conditions,974
found,973
bureau,973
issued,971
canada,970
reached,970
point,964
just,961
david,956
example,951
ed,948
cold,944
satellite,944
five,942
coastal,939
different,937
less,936
information,932
recorded,930
i,927
general,924
school,924
external,921
crew,920
still,909
contents,908
miami,905
work,905
now,905
affected,904
society,903
few,900
end,899
2002,897
spanish,896
usually,892
w,887
using,885
b,885
among,880
long,874
e,873
could,871
making,871
approximately,871
global,867
without,862
six,862
warm,858
like,854
higher,853
track,848
meteorology,848
peak,846
journal,843
down,842
snow,842
china,841
warning,839
typhoon,838
emergency,837
rico,837
life,835
light,834
become,830
aircraft,829
japan,825
effects,822
highest,821
homes,821
line,820
increase,818
lower,818
links,816
occurred,812
sustained,810
cloud,808
trees,808
launch,807
t,807
mass,805
generally,805
group,804
ice,803
addition,800
services,800
today,799
current,798
increased,796
effect,789
ground,786
division,779
even,774
military,772
natural,769
led,765
regions,758
similar,758
language,757
agency,756
team,752
nearly,751
term,750
temperatures,747
next,746
program,746
bay,746
lake,744
important,742
maryland,740
gulf,739
last,739
place,738
various,736
atmosphere,734
bbc,734
killed,730
parts,728
speed,727
impact,722
house,722
considered,721
below,721
established,721
circulation,719
did,718
winter,717
series,714
education,712
lines,710
french,710
great,709
feet,709
disaster,706
1999,706
continued,706
cities,705
flow,703
british,703
mississippi,702
buildings,700
list,697
summer,693
set,693
moving,692
building,692
changes,690
noaa,689
james,689
official,688
common,686
what,686
company,685
waves,684
do,683
passed,683
given,682
causing,682
michael,680
organization,677
european,677
economic,676
al,675
lost,675
louisiana,674
popular,673
convection,671
occur,669
surge,668
district,667
every,665
countries,664
back,662
schools,661
waters,660
events,658
make,657
daily,657
third,655
clouds,654
status,654
mission,653
columbia,653
eye,651
basin,651
warnings,651
et,649
activity,648
project,648
pp,648
deaths,647
built,647
especially,645
members,645
rate,644
cause,638
maximum,638
weakened,637
percent,636
1998,634
cape,633
roads,633
g,632
strength,627
process,627
australian,625
via,624
flight,624
released,624
northeast,622
former,622
modern,622
shear,621
seen,618
category,618
health,617
forecast,615
town,615
age,615
uses,609
environmental,609
law,609
formation,608
forces,608
english,607
nature,606
extratropical,605
robert,605
site,601
support,599
against,599
map,599
culture,599
single,599
created,598
library,595
historical,594
available,592
included,592
nation,591
remained,590
human,589
despite,588
caribbean,587
away,587
observed,587
direction,586
greater,585
related,585
africa,585
1997,584
baltimore,579
post,578
final,578
once,577
upon,577
occurs,575
environment,575
quickly,575
food,574
top,573
review,573
range,572
numerous,572
sun,572
upper,571
control,570
music,569
richard,569
england,569
location,568
motion,568
annual,568
counties,568
el,565
tornado,565
flood,564
orbit,562
side,561
struck,560
defined,560
brought,557
typically,556
far,555
portion,555
capital,555
production,554
management,554
additional,551
way,551
either,551
references,551
body,551
closed,549
inches,549
radar,549
staff,548
red,548
hemisphere,547
present,547
provide,547
hit,546
sometimes,545
levels,545
iss,544
almost,543
album,542
political,542
includes,542
navy,542
own,541
wave,541
la,540
field,539
thus,538
received,538
study,537
port,537
provided,537
took,535
primary,534
st,534
lightning,534
media,533
f,531
census,531
months,530
expected,529
shuttle,529
tornadoes,528
order,527
required,527
possible,524
half,524
forms,521
k,521
multiple,521
held,521
launched,521
indian,520
park,520
community,518
white,517
date,516
terms,515
old,515
her,514
square,512
overall,511
radio,510
fire,510
intense,509
bush,509
southeast,508
scale,508
case,508
houses,508
particularly,507
again,507
college,507
vertical,506
show,506
does,505
1992,505
governor,505
larger,504
billion,504
centre,504
chinese,504
economy,503
1995,501
resulted,500
amount,499
scientific,499
regional,498
50,498
solar,497
others,495
nations,494
students,494
having,493
little,492
business,492
structure,491
100,490
recent,489
operations,488
san,488
towards,487
said,487
n,487
expedition,487
resulting,486
prior,486
free,485
take,485
london,485
outside,484
mostly,484
jersey,484
how,482
thunderstorms,481
path,480
japanese,479
rivers,479
congress,479
size,478
future,478
1996,476
reports,475
extensive,472
response,472
stations,472
property,471
enough,469
published,469
deep,468
black,468
species,467
entire,467
association,467
inland,466
move,466
officials,463
beginning,463
source,462
subtropical,462
gusts,462
northwest,460
family,460
hawaii,460
william,458
construction,458
open,457
height,456
past,456
ii,456
records,455
relief,455
online,454
african,453
usa,453
help,451
cambridge,451
fall,451
commercial,451
produce,450
gas,450
dry,448
technology,448
union,448
seasons,447
pennsylvania,447
potential,446
features,446
electricity,445
retired,444
rotation,443
seven,442
primarily,441
declared,441
referred,439
taken,438
greek,437
directly,435
rapidly,434
must,434
provides,434
southwest,433
types,432
ships,432
relatively,431
strongest,431
release,431
initially,431
private,431
opened,431
momentum,430
best,429
industry,429
right,428
leading,428
death,428
network,427
standard,426
we,425
middle,425
ohio,425
minor,423
india,423
studies,422
growth,422
limited,421
cuba,421
articles,419
1994,419
volume,419
sources,418
1990,418
publishing,418
turned,418
short,416
campus,416
marine,415
reach,414
angular,414
should,414
flooded,414
position,413
civil,413
outer,412
maint,412
started,412
historic,411
front,410
trade,409
extreme,409
institute,409
transportation,409
canadian,408
base,408
described,407
replaced,407
books,407
physical,406
distance,406
living,406
westward,405
becoming,405
dropped,405
army,405
independent,405
currently,404
monthly,404
road,404
member,404
section,404
design,404
hamilton,403
model,403
locations,402
authors,402
moderate,402
event,402
develop,401
month,401
likely,401
ship,401
followed,401
native,401
groups,400
losses,400
responsible,399
women,399
band,398
television,398
v,398
haiti,398
climatic,398
loss,397
lead,397
europe,397
prediction,396
fell,396
eight,396
programs,396
portuguese,395
type,395
spring,395
monsoon,394
widespread,394
bahamas,393
australia,392
communities,392
powerpoint,391
committee,390
measured,389
organized,389
mark,389
nuclear,388
ten,388
sports,387
court,387
toward,386
active,386
thunderstorm,385
majority,385
film,385
smaller,384
founded,384
nhc,384
languages,384
won,384
ever,383
previous,383
special,383
eyewall,382
1993,382
never,382
died,382
polar,381
utc,381
spacecraft,380
accessed,380
reaching,379
rains,379
relative,378
hour,378
roughly,378
social,378
eventually,377
causes,377
d.c,377
resources,377
normal,377
increasing,376
40,375
results,374
warming,374
came,372
street,372
rise,371
remains,371
aid,371
thousands,370
1991,370
close,370
experienced,369
oil,369
book,369
reference,365
centers,364
efforts,364
cultural,364
value,363
means,363
noted,363
board,363
philippines,363
direct,362
analysis,362
announced,362
mean,361
working,360
facilities,360
object,360
role,359
particular,358
nearby,358
evacuated,358
rather,357
itself,357
instead,357
designed,356
him,356
movement,355
forecasts,355
men,355
bodies,354
remnants,354
together,354
originally,354
therefore,353
word,353
brown,353
influence,352
republic,352
commonly,351
significantly,351
wide,351
galveston,351
1985,350
ontario,349
territory,349
juan,349
coastline,348
leaving,348
places,348
slightly,347
german,347
served,347
values,346
transfer,346
satellites,346
o,346
survey,345
forced,345
access,345
velocity,345
channel,344
children,344
cases,344
arabic,344
norfolk,344
variety,343
notable,343
brazil,343
elected,343
cross,342
pittsburgh,342
axis,341
weakening,341
forecasting,341
george,340
longer,338
foreign,338
shows,337
you,337
paul,337
richmond,337
teams,336
suffered,336
delaware,336
council,336
latitude,334
act,334
uk,334
magazine,334
peninsula,334
sciences,333
song,333
extended,333
hundreds,333
officially,332
written,332
michigan,332
20th,331
surrounding,330
crops,330
travel,329
bangladesh,329
19th,328
additionally,327
coriolis,327
joint,327
certain,327
shortly,327
person,327
hot,326
intensified,326
developing,325
moisture,325
observations,325
combined,325
dust,324
estimates,324
portions,324
laboratory,324
offshore,324
policy,323
models,322
arts,322
southeastern,322
france,322
train,322
view,321
layer,321
art,321
bill,321
plan,320
asia,320
full,319
risk,318
distribution,318
jacksonville,318
branch,316
maine,316
objects,315
evacuation,315
urban,315
sent,315
medical,315
constant,315
passage,314
issues,314
oceans,314
completed,314
crop,314
lowest,313
respectively,313
traditional,313
russian,313
rest,313
points,313
persian,313
daniel,312
night,312
equator,310
worldwide,310
jet,310
engine,309
zone,309
lack,309
thomas,309
title,309
corporation,308
classified,307
eric,307
province,307
border,307
downtown,307
separate,306
nio,306
towns,306
constitution,306
slowly,305
rapid,305
unit,305
morning,305
speeds,304
week,304
allowed,304
liquid,304
altitude,303
sound,303
here,302
origin,302
mainly,302
writer,302
version,302
income,302
bridge,301
watch,301
radiation,301
completely,300
worst,300
1970,300
largely,300
went,300
initial,300
she,300
specific,300
airport,300
earlier,299
peter,299
beven,299
abc,299
compared,298
shore,298
able,298
passing,298
image,298
e.g,298
increases,297
turn,297
60,297
tree,297
agricultural,297
upgraded,297
divided,296
played,296
ranked,296
1989,295
downed,295
supplies,295
added,295
tracks,294
plants,294
naval,294
ipcc,294
powerful,293
amounts,293
better,293
stated,293
oxford,293
companies,293
units,293
rhode,293
floods,292
debris,292
northward,292
return,291
equal,290
weak,290
pasch,290
equipment,290
edition,290
spoken,290
whose,289
born,289
agriculture,289
fish,288
introduced,288
minutes,288
charles,288
banks,288
nine,288
engineering,288
colonial,288
kilometres,287
scientists,287
difference,287
behind,287
lakes,287
thermal,286
executive,286
pattern,285
franklin,285
live,285
california,285
create,284
1988,284
need,283
structures,283
mainland,283
vehicles,282
page,282
density,281
complex,281
minimum,280
numbers,280
hall,280
museum,280
database,279
technical,279
stage,279
fishing,279
glossary,278
christopher,278
presence,278
missing,278
cover,277
universities,277
complete,277
rotating,276
allow,276
start,276
isabel,276
impacts,275
key,275
inc,275
collection,274
subsequently,274
supply,274
products,274
fourth,273
becomes,273
90,273
